date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:25:39	133472/133472	---MCZ	200	added ('OK')	text/html	etag:%2212azmls3hky2olt%22	https://yassir.com/ar	C:/Users/moham/Desktop/test/yassir.com/ar.html	(from )
00:25:39	134/134	---M--	200	added ('OK')	text/plain	etag:W/%2286-19885077438%22	https://yassir.com/robots.txt		(from )
00:25:44	7441/7441	---M--	200	added ('OK')	image/png	etag:W/%221d11-19885077438%22	https://yassir.com/images/common/favicon-yassir-forward.png	C:/Users/moham/Desktop/test/yassir.com/images/common/favicon-yassir-forward.png	(from https://yassir.com/ar)
00:25:45	7186/7186	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221c12-19885077438%22	https://yassir.com/images/common/iphone-frame.svg	C:/Users/moham/Desktop/test/yassir.com/images/common/iphone-frame.svg	(from https://yassir.com/ar)
00:25:46	127989/127989	---MCZ	200	added ('OK')	text/html	etag:%225mairtivqu2qqi%22	https://yassir.com/	C:/Users/moham/Desktop/test/yassir.com/index.html	(from https://yassir.com/ar)
00:25:46	184338/184338	---MCZ	200	added ('OK')	text/css	etag:W/%222d012-1988509f4d8%22	https://yassir.com/_next/static/css/ebb1a49734afad4c.css	C:/Users/moham/Desktop/test/yassir.com/_next/static/css/ebb1a49734afad4c.css	(from https://yassir.com/ar)
00:25:46	2764/2764	---MCZ	200	added ('OK')	text/css	etag:W/%22acc-1988509f4d8%22	https://yassir.com/_next/static/css/6fb77ee813e5aa0a.css	C:/Users/moham/Desktop/test/yassir.com/_next/static/css/6fb77ee813e5aa0a.css	(from https://yassir.com/ar)
00:25:47	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-1988509f4d8%22	https://yassir.com/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://yassir.com/ar)
00:25:48	143983/143983	---MCZ	200	added ('OK')	application/javascript	etag:W/%222326f-1988509f4d8%22	https://yassir.com/_next/static/chunks/6628d2a0.96991fbf275657dc.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/6628d2a0.96991fbf275657dc.js	(from https://yassir.com/ar)
00:25:48	24191/24191	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e7f-1988509f4d8%22	https://yassir.com/_next/static/chunks/7867.16826524a57b6889.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/7867.16826524a57b6889.js	(from https://yassir.com/ar)
00:25:49	46732/46732	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b68c-1988509f4d8%22	https://yassir.com/_next/static/chunks/4273.18b881d76c60f071.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/4273.18b881d76c60f071.js	(from https://yassir.com/ar)
00:25:50	263401/263401	---MCZ	200	added ('OK')	application/javascript	etag:W/%22404e9-1988509f4d8%22	https://yassir.com/_next/static/chunks/3779.1a7b86121f216c06.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/3779.1a7b86121f216c06.js	(from https://yassir.com/ar)
00:25:51	25426/25426	---MCZ	200	added ('OK')	application/javascript	etag:W/%226352-1988509f4d8%22	https://yassir.com/_next/static/chunks/740.81a556092764e361.js	C:/Users/moham/Desktop/test/yassir.com/_next/static/chunks/740.81a556092764e361.js	(from https://yassir.com/ar)
